lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
PG (40:7),0.7918041060202134,7.29714940371168,15.12529883605839,1.0060599604437133e-4,0.002043825307222751,838.5328 -> 649.5328,PG,128272.527740489,95695.226226737,71616.54476927,190098.715210493,73312.905181926,51445.903427126,70486.46472171,61287.664199813,55339.384368898,55042.483917205,31138.742202761
PG (22:2),-0.7883948795359971,4.983223824918566,14.979974083356751,1.086581930404464e-4,0.002147215635605239,582.3501 -> 393.3501,PG,2833.3402175907,5995.1204147328,14285.8409690833,17045.9013443027,16980.6811866673,19541.3413696215,20539.6015319735,17705.2811584421,15388.2611045849,17596.221298214,13377.9208526601
PE (44:10),0.7867554708647729,6.142418798192763,14.930760131889535,1.1152960581195187e-4,0.0021715470308091805,840.5539 -> 699.5539,PE,133642.909797721,25228.821830746,25007.581756594,46575.1426735567,22554.6413269148,24693.501663196,25748.7218551593,27085.741897587,25934.662094121,28309.721817017,13881.181175237
1-O-stearoyl-Cer(d18:1/16:0),-0.7838689279731302,6.838576064477079,14.825899351758778,1.1790511550483273e-4,0.002262411201860848,804.8 -> 264.3,CER,65270.6836623923,44466.7230262708,41983.3225250333,40313.5225791867,38185.1633873055,72690.6854439922,73664.1852989214,69102.0852508827,80284.885280647,67363.5047264026,25430.7416534479
PIo (40:7),0.7819988527256265,7.681145083108211,14.758245345478826,1.2221192007341793e-4,0.002311551173960076,926.6792 -> 649.6792,PI,131027.590942363,124592.208679217,131211.988525343,207276.133178697,112030.568237306,67780.264587424,85059.447082508,83619.026184093,69571.205322279,69637.765197759,50333.124023415
Lyso_PC(19:3),0.7800175414165889,6.900131536671635,14.680130393738636,1.2738206851788922e-4,0.002375406460812469,532.3325 -> 184.1,PCandSM,57913.204696642,44913.482910162,52716.4840850855,81181.445236202,47940.623519884,36664.162765516,31637.961868286,28729.202270514,26881.921722409,27152.761947629,102619.04760744
Lyso_PI(20:0),0.7689349858914718,7.32596131019492,14.274336143611897,1.5800453105357422e-4,0.0029055277654851702,646.3588 -> 369.3588,PI,52326.423248303,58977.424011189,312062.709152252,104641.087738075,54196.484436022,60411.664444001,76540.205657997,59503.12409207,61898.264160149,55754.603515574,18955.281440734
PG (44:1),0.7677909266061671,6.289635451035535,14.228539997185408,1.6189641748849012e-4,0.0029363131062296014,906.6893 -> 717.6893,PG,56456.024230969,34608.3623886108,27004.4018974278,128637.608703608,29944.142250052,29384.9620246797,36008.7827148271,30956.6821212864,25171.9016799948,24601.2819518944,17157.0012207035
PG (40:1),0.7650983633419208,6.779566686601698,14.132184791415739,1.704031654430783e-4,0.0030488350141437254,850.6267 -> 661.6267,PG,110824.927185087,70587.444641172,54820.463897792,99001.046356135,54061.783767697,41683.142913801,50695.403976428,36781.002792361,40345.542800896,39486.682907119,19865.041503901
Lyso_PG(22:4),0.7600668974202315,4.214832429262022,13.86746281549108,1.9616535510289472e-4,0.0034629724020831015,578.3114 -> 389.3114,PG,12808.8607902565,1852.8601379396,1590.9401016237,1896.7801551819,4140.2003326424,2513.6801948547,3011.8802032464,2530.3401527396,2209.8001594542,1697.200126648,28766.3024139368
Lyso_PC(22:5),0.7547429929922682,6.164454224709625,13.753331408710208,2.084508006277895e-4,0.003631432368831491,570.3481 -> 184.1,PCandSM,43443.9233589656,42283.0231399193,49409.8627700752,72427.0446929759,29304.761886603,24334.6817398113,32152.5018234013,28851.722358745,24083.84140014,18937.20133972,22640.501388547
Cer(d18:2/14:0),0.730486870776531,6.794050696914974,12.895579247254318,3.293591478882993e-4,0.005663266387066341,508.5 -> 262.4,CER,45858.1835250868,42585.8030777004,72060.9255294828,192371.434761019,41520.7427444373,49305.2034759449,38804.6627922064,40171.2226486301,40215.922721859,44215.0031509413,20787.0814590461
Lyso_PC(18:0),0.7285277999974125,7.177063706199871,12.82552395950961,3.419227434774574e-4,0.005803919389284021,524.3638 -> 184.1,PCandSM,55432.063690169,46487.04315185,53595.643630976,81867.146179212,46083.823226918,43624.58297726,29936.561950682,30339.722427368,26667.96188354,25132.121940613,157700.59301758
TAG(56:7)_FA 16:0,0.7246769562386082,9.533162989337846,12.697174598468905,3.6620847929556973e-4,0.006137468690978916,922.8 -> 649.8,TAG1,507615.78906228,450643.61547855,439733.85107427,782264.64355472,435739.34960964,276321.75903332,310090.88256847,292913.30151372,274123.83886733,291226.6003418,121532.529281592
Lyso_PC(19:2),0.719207330724392,6.775136175347144,12.50226181470896,4.0645963066924113e-4,0.006726906887575941,534.3481 -> 184.1,PCandSM,51914.923767081,41552.283462518,50038.9835815634,77258.105255113,40305.243026731,36555.282394408,30930.501754759,28552.202316283,24180.3414916995,24245.621849065,91840.587341302
Lyso_PC(10:0),0.7164407302513213,5.735537413606009,12.404705691562981,4.2825329882134025e-4,0.007000090958511784,412.2386 -> 184.1,PCandSM,16495.981208804,22070.8018493593,25714.182189934,103242.628635456,22570.741638189,25297.801773063,19983.861328127,20622.1611862174,16296.221298216,21345.441589343,9327.5806007393
PE (36:5),0.711640739095982,9.599430217395216,12.24898296426545,4.655118133911261e-4,0.007516312694266474,738.507 -> 597.507,PE,653026.327697859,602054.306762922,676665.043518259,505870.458923225,286049.739807162,333465.306396427,244344.496581955,335418.425811801,243535.156738458,367195.949615371,119715.82836914
Lyso_PC(18:2),0.7082854944799641,6.921607524274697,12.129357347804442,4.96342214942479e-4,0.007917555332335447,520.3325 -> 184.1,PCandSM,54940.46427916,46966.1834716941,52533.763839719,80221.866638181,35434.482879628,42039.343307485,29536.842025769,26623.982009871,25187.6622772332,26848.982032783,112327.708862302
TAG(52:1)_FA 20:4,0.7057277066748805,6.325095429660573,12.043136284927925,5.198343476330125e-4,0.008193579479358436,878.8 -> 557.8,TAG2,59490.144104002,51695.963928218,48660.6833000235,66201.004760742,59267.203674306,30365.1021690228,33097.042575836,35845.102478028,25638.4218025223,35841.942718494,9947.9006500232
"Cer(d14:2(4E,6E)/18:1(9Z))",-0.6989066415375733,6.578407331974627,11.814479460434882,5.877186144780613e-4,0.009092058221864536,506.5 -> 206.3,CER,49062.7035102817,42722.1026916543,34890.082355495,39772.7229995745,34257.9426994429,56005.7644386592,56207.4442405719,60371.1248054693,63741.8043632506,62504.6641540366,19723.4614143381
TAG(58:7)_FA 18:0,0.6985151455757975,9.328432073993053,11.805462915856424,5.905717576135574e-4,0.009092058221864536,950.8 -> 649.8,TAG1,467406.93456979,355213.82617182,385916.16918942,664908.94506845,377613.42407235,246353.15869146,266161.51928708,247772.41918945,248131.15747074,255015.19824216,109017.167751314
"Cer(d14:2(4E,6E)/18:0(2OH))",-0.6943006830392773,6.7217546583317604,11.661201471890308,6.381711257115156e-4,0.009601574664114166,524.5 -> 206.3,CER,56475.1842613236,45451.6230812052,40915.0228996311,41196.3829345763,38813.0629386858,63061.9237213615,58975.8844490081,66021.3249359884,73685.7852210976,68673.1453514242,21044.3214607268
