lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
TAG(56:3)_FA 16:0,0.18455577138735255,8.573942389010375,3.6653218740097486,0.05555591160952748,0.2875393803574192,930.8 -> 657.8,TAG1,69305.604614247,58010.124206526,79552.084899926,58430.003753668,61952.244018537,47783.403228756,50957.184081976,53763.363708524,64466.144103994,52378.543579134,31788.1423759302
TAG(58:6)_FA 20:0,0.18381904019983697,8.332777562804944,3.635574416182734,0.05655708474199416,0.2888181794157835,952.8 -> 623.8,TAG2,62976.824462883,53760.723907466,59999.404052735,59502.284210184,61612.284423823,48163.663452151,49841.203613259,46905.823455797,52346.403259244,46471.863342255,14839.5210304196
TAG(56:0)_FA 16:1,-0.18147701875360567,9.324173089936822,3.5464940571312127,0.05967140534345897,0.2968071200849972,936.9 -> 665.9,TAG1,110412.44860847,94551.2461548,99742.167236302,107110.167907716,102674.3465576,91127.466674799,141068.190246569,109123.948059061,97253.28735352,102992.167297342,34314.8625183095
TAG(60:10)_FA 20:4,0.18180641820073754,8.332604585221489,3.5565221216668306,0.059311886698331276,0.2968071200849972,972.9 -> 651.9,TAG2,59215.823944066,47305.003417989,76998.605712944,55712.283721931,61496.744903554,48245.5436706347,45931.943420399,44936.26306151,59471.784362802,48646.703811656,12763.060791017
TAG(60:4)_FA 16:0,0.17689819275782961,7.589845640239826,3.3623987017142554,0.06670084658527332,0.32751825951486774,984.9 -> 711.9,TAG1,32588.342620834,30237.242218025,31975.022186292,29860.522155751,36683.802825917,21905.421539306,28378.522094729,27803.921966536,25732.661804202,28416.981887812,18820.5613327002
TAG(54:7)_FA 18:2,-0.17268048355516483,9.163137563625272,3.2110269899803825,0.0731435598988691,0.354607385332492,894.8 -> 597.8,TAG2,82117.98620605,80868.445922844,97719.006774914,103428.28753661,118538.94854735,93462.56628416,106447.006408684,86295.386169431,130188.429565434,88892.20629883,18437.1013107249
TAG(50:2)_FA 16:0,-0.17156496931430162,13.683450255301429,3.172442542690078,0.07489036918715028,0.3585376424834819,850.8 -> 577.8,TAG1,1904350.5859376,2131115.31005862,1796477.5527344,2222546.6445313,2428004.4726563,2058179.21533201,2183646.9765624,2282037.99804681,2323414.2304688,2087261.9736328,812698.03676604
TAG(56:5)_FA 18:1,0.1694256499178489,8.799940581834212,3.090245325986416,0.07876293258056831,0.3678805265653374,926.8 -> 627.796,TAG2,106874.56756589,73523.724975589,73458.20495606,75290.445312477,78193.02520754,73160.304809556,62937.644592277,66624.90444945,76313.88464357,58799.823944099,21379.5215415948
TAG(60:6)_FA 16:0,-0.16974355017485598,8.48849457428479,3.1007713049364227,0.0782552100131999,0.3678805265653374,980.9 -> 707.9,TAG1,63226.924682595,54610.443725551,51873.223022477,57610.123779311,53622.103942849,56340.823791508,57432.943359374,60535.984283445,57626.064453134,61664.604064937,24803.6418037517
TAG(50:3)_FA 18:1,-0.16820046728035581,12.538994032977484,3.049151183264257,0.08077935115773277,0.3727529095591765,848.8 -> 549.8,TAG1,840437.80126973,964516.47241169,806625.45507811,1003513.62988286,1145851.824219,898295.40332033,963395.09082014,1027231.00830078,1099443.2851562,965665.27539029,362208.986549169
TAG(58:9)_FA 20:4,0.1660925750005919,7.895551553924786,2.9667904643952747,0.08499032055943163,0.3875153901697895,946.8 -> 625.8,TAG2,42167.442932127,38428.882507321,50169.003356916,43119.503082274,43754.263061533,37318.962371809,37035.582397456,30920.781951908,41719.322937013,33681.342071519,11486.1807098403
TAG(52:2)_FA 16:0,-0.16213609934218803,13.152857271729728,2.833447197594012,0.09232000138176034,0.411182438425357,876.8 -> 603.8,TAG1,1397824.3828122,1478862.56469757,1236876.4101563,1529301.91308585,1610834.94726573,1405001.33056644,1525659.77441428,1549425.69287112,1558361.1943358,1483244.68457028,575327.418849899
TAG(60:5)_FA 20:4,0.16219823652334214,9.230372223772935,2.833305052136439,0.09232817155243003,0.411182438425357,982.9 -> 661.9,TAG2,106186.067260747,98746.007202149,123787.928588837,106098.347534174,128453.06848145,95580.6260528625,88607.8465881341,92334.926929454,104703.56750492,86084.866302477,20928.681472777
